IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.252.167,443,443,true,FRA,Europe,Frankfurt,295,4.73
34.118.118.199,443,443,true,FRA,Europe,Frankfurt,275,4.72
34.154.70.46,443,443,true,FRA,Europe,Frankfurt,253,4.72
34.65.80.181,443,443,true,FRA,Europe,Frankfurt,252,4.72
34.90.145.175,443,443,true,FRA,Europe,Frankfurt,258,4.72
34.154.121.129,443,443,true,FRA,Europe,Frankfurt,268,4.72
34.91.195.98,443,443,true,FRA,Europe,Frankfurt,257,4.72
34.90.144.241,443,443,true,FRA,Europe,Frankfurt,260,4.72
34.65.249.244,443,443,true,FRA,Europe,Frankfurt,252,4.71
34.147.44.26,443,443,true,FRA,Europe,Frankfurt,258,4.71
34.116.153.78,443,443,true,FRA,Europe,Frankfurt,357,4.71
34.32.224.20,443,443,true,FRA,Europe,Frankfurt,264,4.71
34.118.45.183,443,443,true,FRA,Europe,Frankfurt,267,4.70
34.90.94.175,443,443,true,FRA,Europe,Frankfurt,291,4.70
34.65.81.222,443,443,true,FRA,Europe,Frankfurt,260,4.70
34.118.25.207,443,443,true,FRA,Europe,Frankfurt,267,4.70
34.116.156.226,443,443,true,FRA,Europe,Frankfurt,267,4.70
34.32.165.227,443,443,true,FRA,Europe,Frankfurt,258,4.70
34.118.20.128,443,443,true,FRA,Europe,Frankfurt,331,4.70
34.118.79.119,443,443,true,FRA,Europe,Frankfurt,267,4.69
34.154.75.233,443,443,true,FRA,Europe,Frankfurt,265,4.69
34.65.236.103,443,443,true,FRA,Europe,Frankfurt,250,4.69
34.118.6.166,443,443,true,FRA,Europe,Frankfurt,269,4.68
34.90.0.5,443,443,true,FRA,Europe,Frankfurt,260,4.68
34.118.115.155,443,443,true,FRA,Europe,Frankfurt,280,4.68
34.118.40.155,443,443,true,FRA,Europe,Frankfurt,274,4.67
34.118.5.50,443,443,true,FRA,Europe,Frankfurt,279,4.67
34.89.203.75,443,443,true,FRA,Europe,Frankfurt,253,4.67
34.118.87.123,443,443,true,FRA,Europe,Frankfurt,269,4.67
